iteration,sample,x1,x2,x3,y1,y2,y3,power_output,status
10,6,9.679999999999999e-07,9.635647238122578e-07,-6.034235408364192e-07,-8.31571493242152e-07,6.232781375519717e-07,5.714413120271221e-07,1.552048000476969e-13,success
10,7,2.7162348480662337e-07,1.1174165775284463e-07,-9.60569631447552e-07,-9.679999999999999e-07,9.679999999999999e-07,6.64280322150084e-07,1.1180498480854073e-13,success
10,8,-7.24345770924943e-08,7.369746744946837e-07,-9.661476068232043e-07,-2.33381916306519e-07,7.750018440858115e-07,6.988352165497599e-07,1.5637977408703828e-13,success
10,9,7.829181547821833e-08,2.0602621257803193e-07,-9.260351007112113e-07,-9.679999999999999e-07,6.599495696256974e-07,9.069100897344214e-07,1.4202504472932098e-13,success
10,10,3.954399242590939e-07,9.679999999999999e-07,-4.73084930118968e-07,-7.774265757911847e-07,6.268839467061359e-07,8.453360615448391e-07,4.3097202425825647e-13,success
11,1,1.7873269367580409e-07,8.183188567456638e-07,-6.452988316687169e-07,-2.738228216373187e-07,3.279187826766206e-07,9.016425986905994e-07,1.0076941066078934e-13,success
11,2,1.4247337238548494e-07,9.679999999999999e-07,-8.536149788173081e-07,-9.679999999999999e-07,9.679999999999999e-07,5.002040346014706e-07,2.1812443758777626e-13,success
11,3,2.2026801989099717e-07,9.679999999999999e-07,-9.679999999999999e-07,-9.679999999999999e-07,5.114886958663835e-07,5.236660387340951e-07,6.612335890515612e-14,success
11,4,-5.0856128007717426e-08,9.679999999999999e-07,-7.881541291959969e-07,-3.048637704849103e-07,5.740350494406753e-07,5.323436944263154e-07,2.2277815894913053e-13,success
11,5,-1.2423847053686125e-07,8.716574940449233e-07,-7.526901438537575e-07,-9.679999999999999e-07,-1.1025963969660164e-08,4.061086068035305e-07,1.8048602343934308e-13,success
11,6,3.8021256905527556e-08,9.679999999999999e-07,-3.8392196037996466e-07,-4.1305051527983843e-07,9.679999999999999e-07,7.53705763600346e-07,1.8366350046091709e-13,success
11,7,-5.216051028559301e-07,9.679999999999999e-07,-9.679999999999999e-07,-7.641220830763225e-07,6.592495054384529e-08,5.0399565725429e-07,1.0564534597264859e-13,success
11,8,4.462751043547003e-08,9.527960476168887e-07,-9.679999999999999e-07,-9.679999999999999e-07,6.498237925733451e-07,9.679999999999999e-07,2.8033341092641064e-13,success
11,9,-5.531041591807721e-08,9.422275339321924e-07,-6.891366263360915e-07,-8.028649310270002e-07,8.163487920070328e-07,8.012076358061136e-07,0.0,failed: 'Failed to evaluate code'
11,10,-2.6207307275905083e-07,4.1678174200044943e-07,-7.109078881170235e-07,-7.192807580891939e-07,1.49883791611803e-07,9.679999999999999e-07,5.205878232957838e-16,success
12,1,4.254593668989862e-07,9.008145389339922e-07,-9.679999999999999e-07,-7.908448202593038e-07,6.132611697415381e-07,9.679999999999999e-07,2.0916966650889296e-13,success
12,2,9.679999999999999e-07,9.679999999999999e-07,-9.679999999999999e-07,-8.013512695309307e-07,8.624207426195112e-07,9.679999999999999e-07,1.5710820477144734e-13,success
12,3,-8.14415868415697e-09,9.679999999999999e-07,-8.550603409635841e-07,-9.679999999999999e-07,5.223412909351999e-07,8.142823651909893e-07,2.656782686626045e-13,success
12,4,3.741949137239308e-07,8.429799497183334e-07,-9.679999999999999e-07,-9.679999999999999e-07,3.7745410162264707e-07,3.9111673633632824e-07,1.4086670687592884e-13,success
12,5,7.538989571358465e-07,4.781912716081463e-08,-9.679999999999999e-07,-3.007482510161161e-07,7.510838561709566e-07,1.7978655352475257e-07,5.205878232957838e-16,success
12,6,-8.187730686251736e-08,8.12646378607644e-07,-8.972066897316199e-07,-6.94280886991653e-07,7.803400673645817e-07,9.679999999999999e-07,1.3936443376926416e-14,success
12,7,3.1174586870253597e-07,5.377922648315199e-07,-9.679999999999999e-07,-8.353319918490046e-07,3.716717502488119e-07,9.679999999999999e-07,6.763425338993359e-15,success
12,8,1.0901067820011288e-07,8.868366817375195e-07,-9.059718311027831e-07,-8.06340275453458e-07,2.1620362334815887e-07,9.679999999999999e-07,1.1821259201731144e-13,success
12,9,-5.302931833430856e-08,7.594478827972562e-07,-9.679999999999999e-07,-5.996433224261744e-07,-4.153961058143788e-08,8.719859259423494e-07,3.0225600598692035e-14,success
12,10,6.070023556221728e-07,8.637088767390387e-07,-5.480790531345821e-07,-3.8840107061375306e-07,6.9701741235253e-07,7.915218812831617e-07,7.867335278113852e-14,success
13,1,4.486308457220977e-07,9.251781551442656e-07,-4.7276961325613487e-07,-9.679999999999999e-07,5.2072392150487166e-08,9.679999999999999e-07,2.4880157633939515e-13,success
1,1,-1.5018370128510554e-07,9.679999999999999e-07,-4.972691101563998e-07,-9.679999999999999e-07,6.342758331509897e-07,9.679999999999999e-07,1.958557003777888e-13,success
1,2,-5.534866723619398e-07,9.679999999999999e-07,-9.679999999999999e-07,-1.446993638707426e-07,6.484107998346621e-07,8.036179147117415e-07,7.834442959708767e-14,success
1,3,3.393285336299389e-07,9.679999999999999e-07,-9.679999999999999e-07,-4.183656844188154e-07,9.679999999999999e-07,7.521235645494416e-07,1.1083479064059991e-13,success
1,4,-1.9292306624416414e-07,9.118826933366406e-07,-6.457332086073246e-07,-9.679999999999999e-07,9.679999999999999e-07,1.19453928664813e-07,1.0078750673611385e-13,success
1,5,5.561170547089399e-07,9.679999999999999e-07,-9.679999999999999e-07,-5.723473585889195e-07,9.679999999999999e-07,6.228384306365908e-07,1.0622751445037797e-13,success
1,6,1.9185739166735268e-07,9.679999999999999e-07,-5.996535151609409e-07,-9.679999999999999e-07,8.352368281660033e-07,8.106266403313061e-07,2.4006425057307967e-13,success
1,7,-7.011606522193777e-07,8.288444792251041e-07,-5.86598252433146e-07,-7.103653519872143e-07,9.559228825931075e-07,4.6505064238853115e-07,6.743796140832331e-14,success
1,8,-9.117462286261586e-07,-1.4568077322441743e-07,-6.04989722390099e-07,-9.679999999999999e-07,1.3104267010162859e-07,9.679999999999999e-07,1.722151533462469e-13,success
1,9,-2.2425879767935264e-07,6.604377330263694e-07,-8.077401824280142e-07,-9.679999999999999e-07,-1.9738327724857242e-08,-6.845429591483727e-08,8.246821615455197e-14,success
1,10,3.420385714492169e-08,8.098295970437388e-07,-7.98951408989979e-07,-9.679999999999999e-07,9.679999999999999e-07,2.538289614540181e-07,2.642293644996454e-13,success
2,1,6.169642438917915e-10,2.2689142561570965e-07,-4.4850272619789624e-07,-9.324595670008693e-08,5.085982100501159e-07,2.0952622917562855e-07,3.0929491989414014e-14,success
2,2,2.1319712342944194e-07,9.679999999999999e-07,-9.679999999999999e-07,-3.0158007745136305e-07,2.2524670393468057e-07,6.242062968804955e-07,8.119393002259788e-14,success
2,3,2.29986316262749e-07,9.679999999999999e-07,-8.099692002748702e-07,-7.888817433305745e-07,-8.428444718924516e-08,4.753833422818168e-09,1.2140675196530836e-13,success
2,4,-1.4364260905456084e-08,3.873236271566707e-07,-3.482728439109302e-07,-1.4522465328592996e-07,4.097389997918315e-08,3.6908048739536177e-07,0.0,invalid_triangle_side
2,5,-2.758013059383414e-07,9.679999999999999e-07,-8.291102567050037e-07,-9.679999999999999e-07,6.926216571213604e-07,4.809168025578302e-07,4.414989971610643e-13,success
2,6,5.0086188059991065e-08,1.350312805303316e-07,-9.679999999999999e-07,-8.343017677657787e-07,4.333555081411156e-07,7.260629842840532e-07,1.3821164320438236e-13,success
2,7,6.645676123108844e-07,5.152526881796691e-07,-8.288232104337577e-07,-2.978444576801332e-07,8.293255213038754e-07,9.679999999999999e-07,1.2195069382625972e-13,success
2,8,5.465644499492458e-08,9.679999999999999e-07,-6.150178272161287e-07,-6.170032034447434e-07,6.959050292461205e-07,5.998067439390712e-07,1.498369941504694e-13,success
2,9,1.0977024524017954e-08,5.418988131448395e-07,-9.679999999999999e-07,-4.949199182888544e-07,3.1749907914166533e-07,-1.3300213624649438e-07,7.256029565740939e-14,success
2,10,-2.092082686347364e-07,9.679999999999999e-07,-9.192959162955107e-07,-4.80813428470379e-07,2.618640941326313e-07,5.090722241130536e-07,2.0821897663832312e-13,success
3,1,-2.615727667788523e-07,8.400176771213725e-07,-5.452250087684162e-07,-4.871427612967822e-07,4.098582757116653e-07,9.679999999999999e-07,1.406579166386006e-13,success
3,2,3.740444745318998e-07,8.278819175147653e-07,-9.679999999999999e-07,-6.20687772296228e-07,6.242311003825665e-07,5.431727396484724e-07,1.18052626235823e-13,success
3,3,4.314956595067693e-07,8.5713276137736e-07,-8.269210361552592e-07,-2.507219612043678e-08,-1.5851274621205694e-08,4.698476912274432e-07,0.0,invalid_triangle_side
3,4,-2.217521927797897e-07,9.679999999999999e-07,-2.323826383197289e-07,-2.8921340065254024e-07,4.7157192605242687e-07,2.869023061493562e-07,9.310916916243343e-14,success
3,5,-8.937518396955488e-08,4.1013649857429866e-07,-6.69051330435138e-07,-1.3175936917141485e-07,6.127682930610079e-07,8.522479985626894e-07,7.720284895566034e-14,success
3,6,4.077710739166864e-07,6.553519654032561e-07,-9.679999999999999e-07,-8.761266142292435e-07,2.341896279506753e-07,6.506932193815261e-07,2.3092934021673015e-13,success
